Date,Transect,NET,Impact,dt
2021-12-03 16:00,CN_SRI_MUM_02631022,1.339,2,+40h
2021-11-22 12:00,CN_SRI_MUM_02631022,-0.420,1,+36h
2021-11-27 23:00,CN_SRI_MUM_02631022,1.087,2,+47h
2021-11-18 17:00,CN_SRI_MUM_02631022,1.099,2,+41h
2021-11-24 16:00,CN_SRI_MUM_02631022,-0.935,1,+40h
2021-11-20 01:00,CN_SRI_MUM_02631022,-1.159,1,+25h
2021-12-01 16:00,CN_SRI_MUM_02631022,1.136,2,+40h
2021-11-28 01:00,CN_SRI_MUM_02631022,1.111,2,+25h
2021-11-25 06:00,CN_SRI_MUM_02631022,-0.476,1,+30h
2021-11-27 07:00,CN_SRI_MUM_02631022,-0.181,1,+31h
2021-11-24 10:00,CN_SRI_MUM_02631022,0.177,1,+34h
2021-11-17 03:00,CN_SRI_MUM_02631022,0.273,1,+27h
2021-11-11 08:00,CN_SRI_MUM_02631022,-0.454,1,+32h
2021-11-25 08:00,CN_SRI_MUM_02631022,0.137,1,+32h
2021-12-02 21:00,CN_SRI_MUM_02631022,-0.331,1,+45h
2021-11-25 20:00,CN_SRI_MUM_02631022,0.652,2,+44h
2021-11-27 04:00,CN_SRI_MUM_02631022,-0.055,1,+28h
2021-11-19 03:00,CN_SRI_MUM_02631022,-0.383,1,+27h
2021-11-24 09:00,CN_SRI_MUM_02631022,0.237,1,+33h
2021-11-23 20:00,CN_SRI_MUM_02631022,1.266,2,+44h
2021-11-24 05:00,CN_SRI_MUM_02631022,-0.684,1,+29h
2021-11-19 23:00,CN_SRI_MUM_02631022,-0.542,1,+47h
2021-12-01 18:00,CN_SRI_MUM_02631022,0.840,2,+42h
2021-11-15 05:00,CN_SRI_MUM_02631022,0.604,1,+29h
2021-11-30 21:00,CN_SRI_MUM_02631022,-0.626,1,+45h
2021-11-14 07:00,CN_SRI_MUM_02631022,-0.521,1,+31h
2021-12-05 21:00,CN_SRI_MUM_02631022,1.069,2,+45h
2021-12-03 01:00,CN_SRI_MUM_02631022,-0.628,1,+25h
2021-11-10 21:00,CN_SRI_MUM_02631022,1.008,2,+45h
2021-11-22 00:00,CN_SRI_MUM_02631022,-0.467,1,+48h
2021-11-17 04:00,CN_SRI_MUM_02631022,0.663,2,+28h
2021-11-23 22:00,CN_SRI_MUM_02631022,1.248,2,+46h
2021-11-13 03:00,CN_SRI_MUM_02631022,0.689,2,+27h
2021-12-08 05:00,CN_SRI_MUM_02631022,-1.358,1,+29h
2021-12-07 17:00,CN_SRI_MUM_02631022,-0.219,1,+41h
2021-12-01 11:00,CN_SRI_MUM_02631022,-0.881,1,+35h
2021-12-01 23:00,CN_SRI_MUM_02631022,-0.811,1,+47h
2021-12-04 21:00,CN_SRI_MUM_02631022,0.786,2,+45h
2021-11-28 16:00,CN_SRI_MUM_02631022,-0.084,1,+40h
2021-11-21 15:00,CN_SRI_MUM_02631022,-0.685,1,+39h
2021-11-19 05:00,CN_SRI_MUM_02631022,0.558,1,+29h
2021-12-04 08:00,CN_SRI_MUM_02631022,0.216,1,+32h
2021-12-06 19:00,CN_SRI_MUM_02631022,1.637,2,+43h
2021-12-03 23:00,CN_SRI_MUM_02631022,-1.101,1,+47h
2021-12-07 19:00,CN_SRI_MUM_02631022,1.128,2,+43h
2021-12-05 08:00,CN_SRI_MUM_02631022,0.826,2,+32h
2021-11-28 13:00,CN_SRI_MUM_02631022,0.459,1,+37h
2021-11-28 23:00,CN_SRI_MUM_02631022,0.440,1,+47h
2021-11-20 19:00,CN_SRI_MUM_02631022,1.149,2,+43h
2021-11-17 15:00,CN_SRI_MUM_02631022,0.235,1,+39h
2021-11-15 17:00,CN_SRI_MUM_02631022,0.735,2,+41h
2021-11-20 14:00,CN_SRI_MUM_02631022,-1.030,1,+38h
2021-11-22 13:00,CN_SRI_MUM_02631022,-0.681,1,+37h
2021-11-19 02:00,CN_SRI_MUM_02631022,-0.803,1,+26h
2021-11-16 03:00,CN_SRI_MUM_02631022,0.919,2,+27h
2021-12-10 15:00,CN_SRI_MUM_02631022,-0.353,1,+39h
2021-12-08 03:00,CN_SRI_MUM_02631022,-1.914,1,+27h
2021-11-10 22:00,CN_SRI_MUM_02631022,1.340,2,+46h
2021-12-05 02:00,CN_SRI_MUM_02631022,-1.174,1,+26h
2021-12-08 15:00,CN_SRI_MUM_02631022,-1.051,1,+39h
2021-11-16 11:00,CN_SRI_MUM_02631022,-0.701,1,+35h
2021-11-26 23:00,CN_SRI_MUM_02631022,1.187,2,+47h
2021-11-27 14:00,CN_SRI_MUM_02631022,0.229,1,+38h
2021-11-26 18:00,CN_SRI_MUM_02631022,-0.376,1,+42h
2021-12-09 10:00,CN_SRI_MUM_02631022,0.609,1,+34h
2021-11-13 11:00,CN_SRI_MUM_02631022,0.029,1,+35h
2021-11-19 18:00,CN_SRI_MUM_02631022,1.173,2,+42h
2021-11-21 03:00,CN_SRI_MUM_02631022,-0.971,1,+27h
2021-11-30 12:00,CN_SRI_MUM_02631022,0.095,1,+36h
2021-11-21 18:00,CN_SRI_MUM_02631022,0.729,2,+42h
2021-12-06 05:00,CN_SRI_MUM_02631022,-0.412,1,+29h
2021-12-01 10:00,CN_SRI_MUM_02631022,-1.086,1,+34h
2021-12-02 05:00,CN_SRI_MUM_02631022,0.815,2,+29h
2021-12-05 01:00,CN_SRI_MUM_02631022,-1.306,1,+25h
2021-11-22 19:00,CN_SRI_MUM_02631022,1.215,2,+43h
2021-11-13 00:00,CN_SRI_MUM_02631022,1.028,2,+48h
2021-11-09 02:00,CN_SRI_MUM_02631022,-0.937,1,+02h
2021-11-22 14:00,CN_SRI_MUM_02631022,-0.779,1,+38h
2021-12-10 04:00,CN_SRI_MUM_02631022,-1.458,1,+28h
2021-11-23 18:00,CN_SRI_MUM_02631022,0.434,1,+42h
2021-11-30 09:00,CN_SRI_MUM_02631022,-0.508,1,+33h
2021-12-05 18:00,CN_SRI_MUM_02631022,1.347,2,+42h
2021-11-16 15:00,CN_SRI_MUM_02631022,0.415,1,+39h
2021-11-18 05:00,CN_SRI_MUM_02631022,0.672,2,+29h
2021-11-29 08:00,CN_SRI_MUM_02631022,-0.654,1,+32h
2021-11-22 02:00,CN_SRI_MUM_02631022,-1.103,1,+26h
